id,camp,grade,gpa,gre
1,1,73.5,2.9,151
2,1,86.3,3.64,158
3,1,57.9,2.33,139
4,1,88.2,3.71,154
5,0,69.5,3.75,158
6,1,75.8,3.21,153
7,0,60,3.23,146
8,0,72.9,3.22,155
9,0,60.7,3.05,161
10,1,81.8,3.26,142
11,0,62.4,3,154
12,1,65.3,3.11,148
13,1,82.4,3.53,147
14,0,80,3.98,163
15,0,49.6,3.44,144
16,1,79.1,3.24,148
17,0,60.6,3.04,141
18,1,82.1,3.08,145
19,0,74.3,3.57,157
20,1,72.6,3.25,154
21,1,72.5,3.28,145
22,0,67.2,3.73,156
23,1,52.1,3.15,144
24,0,48.4,2.78,142
25,0,78.6,3.79,158
26,0,79.3,2.99,158
27,1,52.1,3.49,140
28,1,73.8,3.03,155
29,0,66.2,3.26,155
30,1,80.9,3.15,152
31,1,75.4,3.25,152
32,0,58.6,2.69,152
33,1,72.9,2.92,149
34,1,51.5,2.41,155
35,0,59.7,2.83,158
36,1,74.3,3.35,148
37,0,58.8,3.27,149
38,1,59.6,2.97,149
39,1,56.3,3.07,142
40,1,84.5,3.36,154
41,1,59.5,3,150
42,1,74.4,3.02,157
43,0,56.4,2.95,155
44,0,61.3,2.87,159
45,0,69.9,3.24,149
46,0,40.4,3.25,145
47,1,67.9,2.6,140
48,0,68.4,3.21,154
49,0,58.3,2.95,152
50,0,74.8,2.99,158
51,0,67.7,3.42,153
52,1,90.5,3.78,144
53,1,77,3.11,156
54,1,79.3,2.92,142
55,1,77.7,3.83,164
56,1,77.4,3.48,156
57,1,56.5,3.17,150
58,1,78.7,3.5,143
59,1,77,2.93,145
60,0,81,3.67,158
61,1,72.1,3.5,155
62,1,58.3,3.27,147
63,1,68.9,3.32,151
64,0,71.7,3.82,162
65,0,66.1,3.42,151
66,0,69.6,2.8,139
67,1,75.6,3.14,151
68,1,76.3,3.63,152
69,1,63.3,3.34,146
70,0,77.6,3.41,148
71,0,78.1,3.42,156
72,1,64.8,2.81,146
73,0,65.1,3.41,152
74,0,66.9,3.93,151
75,0,75.6,3.85,161
76,0,63.9,3.77,148
77,0,68.8,3.3,147
78,1,73,3.4,162
79,0,80.6,2.9,159
80,1,76,3.47,151
81,0,68.3,3.63,146
82,0,63.6,3.25,160
83,0,79.3,3.68,156
84,0,76.5,2.93,150
85,1,83.4,3.94,155
86,0,75.6,3.99,151
87,0,84.4,3.71,161
88,1,83.9,3.26,153
